1,3,4
1,4,4
1,5,1
1,6,1
1,7,4
1,8,2
1,9,1
1,10,4
1,11,5
1,12,1
1,13,1
1,14,1
1,15,4
1,16,1
1,17,5
1,18,2
1,19,3
1,20,2
1,21,1
1,22,5
1,23,2
1,24,5
1,25,2
1,26,2
1,27,2
1,28,3
1,29,5
1,30,5
1,31,1
1,32,2
1,33,3
1,34,2
1,35,5
1,36,5
1,37,4
1,38,1
1,39,2
1,40,1
1,41,5
1,42,3
1,43,2
1,44,4
1,45,4
1,46,1
1,47,5
1,48,2
1,49,5
1,50,4
1,51,5
1,52,4
1,53,1
1,54,5
2,50,1
2,51,3
2,52,5
2,53,5
2,54,5
2,55,5
2,56,5
2,57,4
2,58,5
2,59,1
2,60,4
2,61,3
2,62,5
2,63,2
2,64,1
2,65,1
2,66,5
2,67,4
2,68,5
2,69,5
2,70,4
2,71,5
3,1,4
3,2,3
3,3,1
3,4,2
3,5,1
3,6,5
3,7,1
3,8,4
3,9,5
3,10,3
3,11,3
3,12,5
3,13,4
3,14,4
3,15,5
3,16,4
3,17,3
3,18,2
3,19,4
3,20,4
3,21,1
3,22,4
3,23,5
3,24,3
3,25,3
3,26,3
4,13,2
4,14,3
4,15,5
4,16,3
4,17,3
4,18,4
4,19,1
8,35,1
8,36,4
8,37,2
8,38,5
8,39,4
8,40,4
8,41,1
8,42,2
9,21,2
9,22,1
9,23,3
9,24,1
9,25,2
9,26,1
9,27,5
9,28,1
9,29,1
9,30,2
9,31,5
9,32,2
9,33,1
9,34,5
9,35,2
9,36,2
9,37,1
9,38,1
9,39,3
9,71,1
